provincia,departamento,registros,hectareas,suma_asegurada_usd,prima_usd,siniestros_totales_usd,resultado_tecnico_usd,loss_ratio_campania,loss_cost_campania
CORDOBA,SAN JUSTO,4,7814.0,3507381.102961918,80221.32369612856,5344.9299276957745,74876.39376843278,0.06662729660185997,0.0015239090850954523
CORDOBA,TERCERO ARRIBA,4,5026.0,1871792.7150916783,99804.39742147551,16691.538712793154,83112.85870868235,0.16724251780514768,0.008917407669243772
LA PAMPA,CHAPALEUFU,5,8102.0,3217995.5507757403,120902.77493060628,2521.1909732016925,118381.58395740458,0.020853044726630656,0.000783466270670861
LA PAMPA,CONHELLO,5,11306.0,3803086.612834979,129401.578495252,12823.414317045479,116578.16417820653,0.09909781987331781,0.0033718438790660025
LA PAMPA,MARACO,5,8974.0,3797736.210155148,115237.84707085464,0.0,115237.84707085464,0.0,0.0
LA PAMPA,QUEMU QUEMU,6,9935.0,3727571.0126939355,117061.48016800583,21656.196675010124,95405.2834929957,0.18499848664077456,0.005809734167709141
LA PAMPA,TRENEL,5,2291.0,600696.227080395,20105.587428780134,1401.311706629055,18704.27572215108,0.06969762567708655,0.002332812565579022
LA PAMPA,GUATRACHE,2,1588.0,500276.3751763046,17293.066077428783,53272.71136132435,-35979.64528389557,3.0805821895781014,0.1064865622378236
SANTA FE,BELGRANO,3,414.0,167172.9196050776,4214.893455076698,0.0,4214.893455076698,0.0,0.0
SANTA FE,GENERAL LOPEZ,3,1356.5,603742.9830747531,15950.673703433164,996.9574047954867,14953.716298637677,0.06250252643441044,0.0016512943963641021
SANTA FE,IRIONDO,2,450.0,237469.88716502115,6574.377348429512,0.0,6574.377348429512,0.0,0.0
SANTA FE,ROSARIO,4,2389.5,1018992.0486600846,30260.482425127833,4185.165744713951,26075.316680413882,0.1383046603790644,0.004107162318113474
SANTA FE,SAN MARTIN,4,6347.0,3493476.15796897,79168.4700146092,0.0,79168.4700146092,0.0,0.0
SANTA FE,SAN LORENZO,1,46.0,17673.342736248236,512.5656683710738,0.0,512.5656683710738,0.0,0.0
SANTA FE,CASEROS,2,269.0,162870.38081805359,7115.009379108838,0.0,7115.009379108838,0.0,0.0
BUENOS AIRES,25 DE MAYO,2,153.0,145913.769393512,6423.296800584369,0.0,6423.296800584369,0.0,0.0
BUENOS AIRES,CHASCOMUS,1,41.5,25479.47813822285,1045.1015631848065,0.0,1045.1015631848065,0.0,0.0
BUENOS AIRES,GUAMINI,1,70.0,43007.052186177716,2093.680058436815,0.0,2093.680058436815,0.0,0.0
BUENOS AIRES,PILA,1,91.5,56177.64456981664,2304.260073046019,0.0,2304.260073046019,0.0,0.0
CORDOBA,JUAREZ CELMAN,3,4244.0,2050135.1339915374,77906.86335281227,19816.5862643452,58090.277088467075,0.2543625222671715,0.00966599027341336
LA PAMPA,CAPITAL,2,555.0,193742.15444287728,6565.214302410519,4781.319288022823,1783.8950143876964,0.7282807640060261,0.024678776293016506
LA PAMPA,CATRILO,4,8636.0,1645361.005641749,59460.95220598978,0.0,59460.95220598978,0.0,0.0
LA PAMPA,RANCUL,3,5516.0,790792.224964739,23279.965405405408,0.0,23279.965405405408,0.0,0.0
SANTA FE,9 DE JULIO,1,1407.7,304326.5162200282,14090.295471146823,0.0,14090.295471146823,0.0,0.0
SANTA FE,SAN JUSTO,1,74.0,47874.97531734838,2435.9630752373996,0.0,2435.9630752373996,0.0,0.0
BUENOS AIRES,BRAGADO,2,555.0,379083.70944992953,9768.857056245435,0.0,9768.857056245435,0.0,0.0
BUENOS AIRES,LOBERIA,1,143.0,79466.85472496474,2683.344338933528,0.0,2683.344338933528,0.0,0.0
CORDOBA,UNION,2,295.0,137278.20874471084,3725.4379108838566,0.0,3725.4379108838566,0.0,0.0
LA PAMPA,ATREUCO,1,140.0,72443.58251057829,1995.9715120525932,0.0,1995.9715120525932,0.0,0.0
SANTA FE,CONSTITUCION,2,40.0,14104.372355430183,402.6661796932067,0.0,402.6661796932067,0.0,0.0
BUENOS AIRES,CAPITAN SARMIENTO,1,31.0,12985.89562764457,279.7744338933528,0.0,279.7744338933528,0.0,0.0
BUENOS AIRES,EXALTACION DE LA CRUZ,1,246.0,128811.70662905501,2401.599707815924,0.0,2401.599707815924,0.0,0.0
CORDOBA,RIO SEGUNDO,1,528.0,38673.728631875885,1862.6963623082545,0.0,1862.6963623082545,0.0,0.0
CORDOBA,SANTA MARIA,1,530.0,77906.82299012694,3752.3370270270266,0.0,3752.3370270270266,0.0,0.0
SAN LUIS,SAN LUIS,1,440.0,64510.57827926657,5512.615047479912,0.0,5512.615047479912,0.0,0.0
