provincia,departamento,cultivo,provincia_norm,departamento_norm,cultivo_norm,registros,has,suma_asegurada_usd,suma_asegurada_helada_usd,prima_usd,st_pagado_usd,rsp_usd,hyg_usd,siniestros_total_usd,resultado_tecnico_usd,tasa_prima_pct,loss_cost_campania_pct,loss_ratio_pct,share_suma_asegurada_pct,semaforo_loss_ratio
LA PAMPA,MARACO,TRIGO,LAPAMPA,MARACO,TRIGO,1,443.0,175977.71509167843,0.0,5920.901592403215,0.0,0.0,0.0,0.0,5920.901592403215,0.03364574650442884,0.0,0.0,0.002711246127308956,Normal
LA PAMPA,RANCUL,GIRASOL,LAPAMPA,RANCUL,GIRASOL,1,1334.0,169631.08251057827,0.0,5042.6702264426585,0.0,0.0,0.0,0.0,5042.6702264426585,0.0297272772879239,0.0,0.0,0.0026134650929433476,Normal
BUENOS AIRES,OLAVARRIA,TRIGO,BUENOSAIRES,OLAVARRIA,TRIGO,1,277.0,167606.4880112835,0.0,4635.268224981739,0.0,0.0,0.0,0.0,4635.268224981739,0.027655661066471878,0.0,0.0,0.002582272654783071,Normal
BUENOS AIRES,ROJAS,SOJA,BUENOSAIRES,ROJAS,SOJA,1,263.0,165255.99435825105,0.0,4313.5507669831995,0.0,0.0,0.0,0.0,4313.5507669831995,0.02610223480082693,0.0,0.0,0.00254605916712227,Normal
BUENOS AIRES,PEHUAJO,TRIGO,BUENOSAIRES,PEHUAJO,TRIGO,2,331.0,160994.4287729196,61018.095909732016,6476.433053323593,35328.97472607743,680.4285609934258,0.0,36009.403287070854,-29532.970233747263,0.04022768429122794,0.22366862978756621,5.560067245440212,0.0024804022560555266,Crítico
CORDOBA,TERCERO ARRIBA,MAIZ,CORDOBA,TERCEROARRIBA,MAIZ,1,272.0,160291.9605077574,0.0,5857.537545653762,0.0,0.0,0.0,0.0,5857.537545653762,0.036542927836797426,0.0,0.0,0.00246957949726197,Normal
BUENOS AIRES,RAMALLO,TRIGO,BUENOSAIRES,RAMALLO,TRIGO,1,1138.0,159559.5909732017,0.0,4289.290869247627,0.0,0.0,0.0,0.0,4289.290869247627,0.02688206232596836,0.0,0.0,0.002458296056837205,Normal
BUENOS AIRES,TORNQUIST,TRIGO,BUENOSAIRES,TORNQUIST,TRIGO,1,484.0,158735.89562764458,95241.53737658674,7863.104046749452,32608.532943754566,1621.3850255661066,0.0,34229.917969320675,-26366.813922571222,0.04953576515040028,0.21564068942298756,4.353232230657188,0.002445605581713348,Crítico
LA PAMPA,RANCUL,SOJA,LAPAMPA,RANCUL,SOJA,1,1236.0,157659.73201692523,0.0,4196.891906501095,0.0,0.0,0.0,0.0,4196.891906501095,0.026619935558754765,0.0,0.0,0.002429025389042966,Normal
CORDOBA,GENERAL ROCA,MAIZ,CORDOBA,GENERALROCA,MAIZ,1,450.0,149264.15726375175,0.0,6122.0,0.0,0.0,0.0,0.0,6122.0,0.04101453498432544,0.0,0.0,0.002299676797806763,Normal
BUENOS AIRES,BRAGADO,MAIZ,BUENOSAIRES,BRAGADO,MAIZ,1,164.0,148678.4203102962,0.0,3670.672023374726,0.0,0.0,0.0,0.0,3670.672023374726,0.02468866709582955,0.0,0.0,0.002290652490121834,Normal
BUENOS AIRES,RIVADAVIA,TRIGO,BUENOSAIRES,RIVADAVIA,TRIGO,1,1370.0,147277.41537376586,0.0,4530.708254200146,0.0,0.0,0.0,0.0,4530.708254200146,0.030763089117920448,0.0,0.0,0.002269067545650145,Normal
BUENOS AIRES,BOLIVAR,MAIZ,BUENOSAIRES,BOLIVAR,MAIZ,1,243.0,146933.15937940762,0.0,2937.3180131482836,0.0,0.0,0.0,0.0,2937.3180131482836,0.019990844990704956,0.0,0.0,0.0022637636767425364,Normal
BUENOS AIRES,25 DE MAYO,GIRASOL,BUENOSAIRES,25DEMAYO,GIRASOL,2,153.0,145913.769393512,0.0,6423.296800584369,0.0,0.0,0.0,0.0,6423.296800584369,0.04402118338305349,0.0,0.0,0.0022480581815891463,Normal
BUENOS AIRES,BENITO JUAREZ,TRIGO,BUENOSAIRES,BENITOJUAREZ,TRIGO,1,256.0,143634.41466854725,0.0,4463.263696128561,0.0,0.0,0.0,0.0,4463.263696128561,0.031073776479181883,0.0,0.0,0.0022129407142007073,Normal
BUENOS AIRES,RIVADAVIA,MAIZ,BUENOSAIRES,RIVADAVIA,MAIZ,1,195.0,139772.91960507756,0.0,5096.106355003652,0.0,0.0,0.0,0.0,5096.106355003652,0.03645989773557341,0.0,0.0,0.00215344759297794,Normal
BUENOS AIRES,MAIPU,GIRASOL,BUENOSAIRES,MAIPU,GIRASOL,1,170.4,139107.92665726374,0.0,5705.841263696128,0.0,0.0,0.0,0.0,5705.841263696128,0.04101736975603316,0.0,0.0,0.0021432022073419876,Normal
BUENOS AIRES,BENITO JUAREZ,FINA OTROS,BUENOSAIRES,BENITOJUAREZ,FINAOTROS,1,246.0,138023.69534555712,0.0,4301.208867786706,0.0,0.0,0.0,0.0,4301.208867786706,0.0311628293751893,0.0,0.0,0.002126497717552242,Normal
CORDOBA,GENERAL SAN MARTIN,SOJA,CORDOBA,GENERALSANMARTIN,SOJA,1,326.0,136561.35401974613,0.0,7638.258582907231,0.0,0.0,0.0,0.0,7638.258582907231,0.055932797662527386,0.0,0.0,0.002103967778154271,Normal
SANTA FE,GENERAL LOPEZ,MAIZ,SANTAFE,GENERALLOPEZ,MAIZ,1,152.0,136509.16784203102,0.0,3181.968371073777,0.0,0.0,0.0,0.0,3181.968371073777,0.023309558041962164,0.0,0.0,0.0021031637583262186,Normal
